"","x","y","Tile_ID","Eco_Name","WSR","BAF"
"87",27.625,-27.375,1937,"AT8",635.7609253,0.019048681
"88",27.875,-27.375,1938,"AT8",681.8063354,0.012160028
"89",28.125,-27.375,1939,"AT8",762.5639648,0.012920301
"90",28.375,-27.375,1940,"AT8",791.1417236,0.016787378
"91",28.625,-27.375,1941,"AT8",773.5251465,0.021868939
"92",28.875,-27.375,1942,"AT8",720.5358276,0.024876852
"93",29.125,-27.375,1943,"AT8",728.5626831,0.028393935
"94",29.375,-27.375,1944,"AT8",799.2129517,0.066465139
"95",29.625,-27.375,1945,"AT8",820.1115723,0.08352945
"96",29.875,-27.375,1946,"AT8",876.6680908,0.115073524
"97",30.125,-27.375,1947,"AT8",848.1008301,0.188098088
"98",30.375,-27.375,1948,"AT8",897.2807617,0.283445865
"99",27.125,-27.625,1957,"AT8",678.0688477,0.013883938
"100",27.375,-27.625,1958,"AT8",674.484314,0.01165712
"101",27.625,-27.625,1959,"AT8",668.2387695,0.012661035
"102",27.875,-27.625,1960,"AT8",721.3860474,0.011438251
"103",28.375,-27.625,1961,"AT8",728.0613403,0.013477942
"104",28.625,-27.625,1962,"AT8",737.3878784,0.033913866
"105",28.875,-27.625,1963,"AT8",766.8597412,0.033589609
"106",29.125,-27.625,1964,"AT8",788.1636353,0.030374737
"107",29.375,-27.625,1965,"AT8",850.9420166,0.071998931
"108",29.625,-27.625,1966,"AT8",861.4848633,0.130913898
"109",29.875,-27.625,1967,"AT8",829.489624,0.220835894
"110",30.125,-27.625,1968,"AT8",739.7047119,0.404561073
"111",30.375,-27.625,1969,"AT8",833.463562,0.286382616
"112",27.375,-27.875,1972,"AT8",731.0513916,0.020548988
"113",27.625,-27.875,1973,"AT8",748.8358765,0.017689008
"114",27.875,-27.875,1974,"AT8",746.4075928,0.017259268
"115",28.875,-27.875,1975,"AT8",789.8786011,0.070331886
"116",29.125,-27.875,1976,"AT8",828.1900024,0.041749623
"117",29.375,-27.875,1977,"AT8",857.4263306,0.116366252
"118",29.625,-27.875,1978,"AT8",879.2408447,0.239446104
"119",29.875,-27.875,1979,"AT8",789.2511597,0.23710601
"120",30.125,-27.875,1980,"AT8",682.2835083,0.215364113
"121",30.375,-27.875,1981,"AT8",706.2480469,0.085725799
"122",30.625,-27.875,1982,"AT8",767.1251221,0.212550133
"123",25.625,-28.125,1984,"AT8",626.5062256,0.006449217
"124",27.125,-28.125,1985,"AT8",691.3804932,0.103156023
"125",27.375,-28.125,1986,"AT8",786.2084961,0.00787851
"126",27.625,-28.125,1987,"AT8",816.4799194,0.00684327
"127",27.875,-28.125,1988,"AT8",785.8098145,0.022568461
"128",29.125,-28.125,1989,"AT8",818.6119385,0.064363025
"129",29.375,-28.125,1990,"AT8",827.2054443,0.195263758
"130",29.625,-28.125,1991,"AT8",888.9841309,0.222199783
"131",29.875,-28.125,1992,"AT8",825.8238525,0.117080823
"132",30.125,-28.125,1993,"AT8",777.5494385,0.109434836
"133",30.375,-28.125,1994,"AT8",753.6282349,0.091738321
"134",30.625,-28.125,1995,"AT8",757.5916138,0.053986907
"135",30.875,-28.125,1996,"AT8",808.848999,0.056973331
"136",25.875,-28.375,1997,"AT8",615.4775391,0.003276045
"137",26.125,-28.375,1998,"AT8",649.4536133,0.010130049
"138",26.625,-28.375,1999,"AT8",672.6512451,0.00581863
"139",26.875,-28.375,2000,"AT8",672.7883301,0.008546591
"140",27.125,-28.375,2001,"AT8",741.1325684,0.008773876
"141",27.375,-28.375,2002,"AT8",817.1032715,0.012586381
"142",27.875,-28.375,2003,"AT8",782.3146362,0.021413555
"143",28.375,-28.375,2004,"AT8",803.8562012,0.074210063
"144",28.625,-28.375,2005,"AT8",842.819519,0.380906135
